page_chunk,page_number,group_value,group_confidence,group_notes_value,group_notes_confidence,series_value,series_confidence,series_notes_value,series_notes_confidence,unit_value,unit_confidence,finding_aid_reference_raw_value,finding_aid_reference_raw_confidence,text_value,text_confidence,start_date_original_value,start_date_original_confidence,end_date_original_value,end_date_original_confidence,start_date_formatted_value,start_date_formatted_confidence,end_date_formatted_value,end_date_formatted_confidence,annotations
1,1-5,,,,,,,,,,,11/4.,5/5,Building Workers Social and Political Picnic Committee.,5/5,,,,,,,,,[]
1,1-5,12,5/5,Group 12: Photographs.,5/5,,,,,,,,,Group 12: Photographs.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,,,Abbreviations.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,A.C.T.U.,5/5,Australian Council of Trade Unions.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,A.L.P.,5/5,Australian Labor Party.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,B.W.I.U.,5/5,Building Workers Industrial Union.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,I.W.W.,5/5,Industrial Workers of the World.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,O.P.D.U.,5/5,Operative Painters and Decorators Union.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,P.W.D.,5/5,Public Works Department,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,T.H.C.,5/5,Trades Hall Council.,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,V.H.C.,5/5,Victorian Housing Commission.,5/5,,,,,,,,,[]
2,6-10,1,5/5,"Group 1. Minute Books,",5/5,,,,,,,,,"Group 1. Minute Books,",5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,Note:,5/5,"This collection of bound volumes, which are in excellent condition, contains useful information about the early history, rules and industrial and political policy of the union from 1886 to 1937.",5/5,1886,5/5,1937,5/5,1886-01-01,5/5,1937-01-01,5/5,[]
2,6-10,,,,,,,,,Box 8,5/5,1/1.,5/5,Minute Book. United Society of Painters and Decorators. Vol.1. Contains material on the 1890s. depression and early support for labor candidates.,5/5,9 Dec.1886,5/5,2 Nov. 1900,5/5,1886-12-09,5/5,1900-11-02,5/5,[]
2,6-10,,,,,,,,,Box 8,5/5,1/2.,5/5,"Ditto. Vol.2. More re Political Labor Council proposals for a daily labor newspaper, the formation of the first Federal Labor Party, wom- en's suffrage, Tom Mann, May Day.",4/5,5 Dec. 1900,5/5,8 April.1908.,5/5,1900-12-05,5/5,1908-04-08,5/5,[]
2,6-10,,,,,,,,,Box 3,5/5,1/3.,5/5,"Minute Book. The Painters, Paperhangers and Decorators Society of Victoria. Vol.1. Contains material on the I.W.W. The Labor Call news- paper, amalgamation of painting unions, affiliat- ion with the Political Labor Council and on the Building Trades Council.",4/5,22 April 1908,5/5,14 Oct.1914.,5/5,1908-04-22,5/5,1914-10-14,5/5,[]
2,6-10,,,,,,,,,Box 3,5/5,1/4.,5/5,"Ditto. Vol.2. Indexed material. Re anti-conscript- ion campaign from 1916, financial support for the A.L.P. agitation for a 40 hour week, the ""Red Flag"" hoisted on the Melb. T.H.C. in 1918, campaign for One Big Union, the War Services Home Commission.",4/5,28 Oct 1914,5/5,16 Nov. 1921.,5/5,1914-10-28,5/5,1921-11-16,5/5,[]
2,6-10,,,,,,,,,Box 5,5/5,1/5.,5/5,"Ditto. Vol.3. Re health risks in the painting trade, more about the 40 hour week campaign.",5/5,14 Dec 1921,5/5,21 Nov. 1928.,5/5,1921-12-14,5/5,1928-11-21,5/5,[]
2,6-10,,,,,,,,,Box 5,5/5,1/6.,5/5,"Ditto. Vol.4. Re Apprenticeship Commission, the Industrial Printing Co., unemployment.",5/5,5 Dec. 1928,5/5,30 Oct. 1935.,5/5,1928-12-05,5/5,1935-10-30,5/5,[]
2,6-10,,,,,,,,,Box 6,5/5,1/7,5/5,"Ditto. Vol.5. One Big Union, the A.C.T.U. the Anti-War Committee , relations between the Painters and the T.H.C. in 1936, the fund for Spanish workers, more about The Labor Call and the 40 hour week campaign.",4/5,6 Nov. 1935,5/5,28 July 1937.,5/5,1935-11-06,5/5,1937-07-28,5/5,[]
2,6-10,2,5/5,Group 2. Rule Books and Awards.,5/5,,,,,,,,,Group 2. Rule Books and Awards.,5/5,,,,,,,,,[]
2,6-10,,,,,,,,,Box 6,5/5,2/1,5/5,Rule Books. 1910 to 1971.,5/5,1910,5/5,1971,5/5,1910-01-01,5/5,1971-01-01,5/5,[]
2,6-10,,,,,,,,,,,2/1/1.,5/5,"Federal, Branch and Sub-Branch Rules. The Federated House and Ship Painters, Paperhangers, and Decorators' Employees' Association of Australia. 57 pp. 2 copies.",4/5,1910.,5/5,,,1910-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/2,5/5,Ditto. 59 pp. 1 copy.,5/5,1913,5/5,,,1913-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/3.,5/5,Ditto 59 pp. 1.copy.,4/5,1915.,5/5,,,1915-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/4.,5/5,Victorian Branch Rules. Operative Painters and Decorators of Australasia. 32 pp.1 copy.,4/5,1917.,5/5,,,1917-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/5.,5/5,Rules Operative Painters and Decorators of Australasia. 22 pp. 1 copy.,4/5,1917.,5/5,,,1917-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/6.,5/5,Ditto. 25 pp. 1 copy.,5/5,1918.,5/5,,,1918-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/7.,5/5,Ditto. 32 pp. 2 copies.,5/5,6 May 1921.,5/5,,,1921-05-06,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/8.,5/5,Victorian Branch Rules. O.P.D.U. 30 pp. 3 copies.,4/5,1924.,5/5,,,1924-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/9.,5/5,Rules. O.P.D.U. 34 pp. 1 copy.,5/5,1925.,5/5,,,1925-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/10.,5/5,Victorian Branch Rules. O.P.D.U. 30 pp. 2 copies.,5/5,1927.,5/5,,,1927-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/11/,5/5,Ditto. 30 pp. 3 copies.,5/5,1929,5/5,,,1929-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/12.,5/5,Ditto. 36 pp. 1 copy.,5/5,18 April 1935.,5/5,,,1935-04-18,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/13.,5/5,Amendment to Rules. 1 p.,5/5,17 Aug. 1938.,5/5,,,1938-08-17,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/14.,5/5,Federal Rules O.P.D.U. 34 pp. 1 copy.,5/5,Aug. 1961.,5/5,,,1961-08-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/15.,5/5,Ditto. B.W.I.U. 39 pp. 2 copies.,5/5,9 Aug. 1965.,5/5,,,1965-08-09,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/16.,5/5,Queensland Branch. O.P.D.U. Awards and Rules in Decimal Currency. 116 pp. 1 copy.,5/5,Jan. 1966.,5/5,,,1966-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/1/17.,5/5,Federal Rules. O.P.D.U. 42 pp. 2 copies.,5/5,May 1971.,5/5,,,1971-05-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/2.,5/5,"Awards , determinations and agreements.",5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,2/2/1.,5/5,Determination of the Painters Board. Victorian Gov Gazette. No. 138. 1 p.,5/5,18 Oct. 1918.,5/5,,,1918-10-18,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/2.,5/5,Ditto. 1 p.,5/5,10 March 1920.,5/5,,,1920-03-10,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/3.,5/5,Ditto. 1 p.,5/5,25 Oct. 1920.,5/5,,,1920-10-25,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/4.,5/5,Determination of the Pasterers Board. Extract from Gov. Gazette in Labor Call Print. 4 pp.,5/5,16 Nov. 1920.,5/5,,,1920-11-16,5/5,,,[]
2,6-10,,,,,,,,,Box 37,5/5,2/2/5.,5/5,Determination of the Painters Board 1 p. 2 copies,5/5,20 Jan. 1922.,5/5,,,1922-01-20,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/6.,5/5,Ditto. 2 pp. typescript.,5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,2/2/7.,5/5,Ditto. 1 p.,5/5,13 June 1923.,5/5,,,1923-06-13,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/8.,5/5,The New Federal Agreement. Australian Coach- makers Employees' Federation. 1 p.,5/5,1 Aug. 1924.,5/5,,,1924-08-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/9.,5/5,Determination of the Painters Board. Extract from Vic.Gov. Gazett. No. 170.pp.4229-30. 1 p.,5/5,11 Dec. 1925.,5/5,,,1925-12-11,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/10.,5/5,Determination of the Fibrous Plasterers' Board. 8 pp. 1 copy.,5/5,29 Nov. 1934.,5/5,,,1934-11-29,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/11/,5/5,Determination of the Plasterers Board. Vic.Gov. Gazette No.62. 1 p.,5/5,29 March 1938.,5/5,,,1938-03-29,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/12.,5/5,Ditto. No. 160. 1 p. 3 copies.,5/5,28 July 1938.,5/5,,,1938-07-28,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/13.,5/5,Determination of the Painters Board. Vic.Gov. Gazette No. 163. 2 pp.,5/5,29 July 1938.,5/5,,,1938-07-29,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/14.,5/5,Determination of the Bricklayers Board. Vic.Gov Gazette No. 251. 1 p.,5/5,26 Sept. 1938.,5/5,,,1938-09-26,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/15.,5/5,Determination of the Plumbers Board. Vic.Gov.Gazette. No. 284. 1 p.,5/5,11 Nov. 1938.,5/5,,,1938-11-11,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/16.,5/5,Determination of the Carpenters Board. Vic.Gov. Gazette. No.313. 2 pp.,5/5,1 Dec. 1938.,5/5,,,1938-12-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/2/17.,5/5,Determination of the Builders' Labourers Board. Vic Gov.Gazette.No.355. 2 pp.,5/5,2 Dec. 1938.,5/5,,,1938-12-02,5/5,,,[]
