page_chunk,page_number,group_value,group_confidence,group_notes_value,group_notes_confidence,series_value,series_confidence,series_notes_value,series_notes_confidence,unit_value,unit_confidence,finding_aid_reference_raw_value,finding_aid_reference_raw_confidence,text_value,text_confidence,start_date_original_value,start_date_original_confidence,end_date_original_value,end_date_original_confidence,start_date_formatted_value,start_date_formatted_confidence,end_date_formatted_value,end_date_formatted_confidence,annotations
1,1-5,,,,,,,,,Unit 1,5/5,1/1/1,5/5,"Minute Book 1945-54. Executive, General meetings. Commences with the formation in February 1945 of a Victorian Branch of AFSA, despite opposition from the WWF; 1946 agreement with shipowners; relations with WWF and the Federated Ship Painters and Dockers' Union of Australia; affiliation with the ACTU and ALP; Federal log of claims 1949; 1950 affiliation with THC. 1 vol. 286pp. 27 Feb. 1945 - 29 Jan. 1954.",5/5,27 Feb. 1945,5/5,29 Jan. 1954,5/5,1945-02-27,5/5,1954-01-29,5/5,[]
1,1-5,,,,,,,,,Units 8,5/5,1/1/2,5/5,"Minutes, Special Meetings 1958-1961. Re margins, long service leave, disputes on the waterfront, workers' compensation, campaign for wet weather clothing. 1 vol. 1958 - 1961.",5/5,1958,5/5,1961,5/5,1958-01-01,5/5,1961-01-01,5/5,[]
1,1-5,,,,,,,,,Unit 1,5/5,1/1/3,5/5,Minute Book. Executive and Special Meetings 1961-1965. Contains material on long service leave campaign.,5/5,1961,5/5,1965,5/5,1961-01-01,5/5,1965-01-01,5/5,[]
1,1-5,,,,,,,,,,,1/2,5/5,"Diaries, Journals",5/5,,,,,,,,,[]
1,1-5,,,,,,,,,Units 1-5 & 7-8,5/5,1/2/1,5/5,"Secretary's Diary, 1951-1965. Bound volumes of notes re union management: union elections, contributions, arrangements for meetings, minutes of meetings, newspaper cuttings. 16 vols. 1951 - 1965.",5/5,1951,5/5,1965,5/5,1951-01-01,5/5,1965-01-01,5/5,"[{""value"": ""(NB. 1963 in units 4&11)"", ""confidence"": ""5/5""}]"
1,1-5,,,,,,,,,Unit 9,5/5,1/2/2,5/5,Casual foremen's journal. 1 vol. 1962.,5/5,1962.,5/5,,,1962-01-01,5/5,,,[]
1,1-5,2,5/5,GROUP 2. MANAGEMENT,5/5,,,,,,,,,GROUP 2. MANAGEMENT,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,,,2/1,5/5,Rules,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,Unit 5,5/5,2/1/1,5/5,"Typescript of the 1956 rules of AFSA (Vic. Branch). Includes both General Rules and rules for the administration of the branch. Among Association's purposes are: obtaining proper rates of pay, promotion of industrial peace by means of conciliation and arbitration, and to ""further political objects"". Contains clauses governing members' conduct in a strike of another organisation. 40pp. 1 Jan. 1956.",5/5,1 Jan. 1956.,5/5,,,1956-01-01,5/5,,,[]
1,1-5,,,,,,,,,,,2/1/2,5/5,Rules of AFSA 72pp. 1 Jan. 1957.,5/5,1 Jan. 1957.,5/5,,,1957-01-01,5/5,,,[]
1,1-5,,,,,,,,,,,2/1/3,5/5,"Draft of 1965 Branch rules adopted at a Special General Meeting. Halves entrance fee, lowers annual subscription. 16pp. 2 copies. 26 Jan. 1966.",5/5,26 Jan. 1966.,5/5,,,1966-01-26,5/5,,,[]
1,1-5,,,,,,,,,,,2/2,5/5,Applications for membership,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,Units 6 & 7,5/5,2/2/1,5/5,"Applications 1945-51. Loose-leaf volume of applications arranged in alphabetical order, which contains details re employment permanent/casual, length of time in industry, former union to which applicant belonged. The majority were former members of WWF. 3 vols. 1945 - 1951.",5/5,1945,5/5,1951,5/5,1945-01-01,5/5,1951-01-01,5/5,[]
1,1-5,,,,,,,,,Unit 9,5/5,2/2/2,5/5,Applications. 1 vol. 1952 - 1956.,5/5,1952,5/5,1956,5/5,1952-01-01,5/5,1956-01-01,5/5,[]
1,1-5,,,,,,,,,Unit 8,5/5,2/2/3,5/5,Ditto. 1 vol and envelope. 1957-1968.,5/5,1957,5/5,1968,5/5,1957-01-01,5/5,1968-01-01,5/5,[]
1,1-5,,,,,,,,,,,2/3,5/5,Membership registers,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,Unit 9,5/5,2/3/1,5/5,"Register of members. Vic. Branch. Contains an alphabetical list of union members with addresses and notes re change of address, transfers, resignations, deaths, etc. Includes a list of 1960 executive. 1 vol. 1960.",5/5,1960.,5/5,,,1960-01-01,5/5,,,[]
1,1-5,,,,,,,,,,,2/3/2,5/5,"Register of casual foremen. Contains rates of pay for permanent/casual work, lists of the 1962, 1965 executives, subscriptions for 1963. 1 vol. 1965 - 1969.",5/5,1965,5/5,1969,5/5,1965-01-01,5/5,1969-01-01,5/5,[]
1,1-5,,,,,,,,,,,2/4,5/5,Accounts,5/5,,,,,,,,,[]
1,1-5,,,,,,,,,Unit 6,5/5,2/4/1,5/5,"Ledger. Financial statements re union members listed alphabetically. Includes details concerning payment of dues, receipts, transfers, resignations, deaths, etc. 1 vol. 1945 - 1953.",5/5,1945,5/5,1953,5/5,1945-01-01,5/5,1953-01-01,5/5,[]
2,6-10,2,5/5,GROUP 2.,5/5,,,,,,,,,GROUP 2.,5/5,,,,,,,,,[]
2,6-10,,,,,MANAGEMENT,5/5,(cont.),5/5,,,,,MANAGEMENT (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,2/4,5/5,Accounts (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,Unit 6,5/5,2/4/2,5/5,"Manual of accounts, accounting procedure and instructions, items to be adjusted. 7pp. t.s. 1952.",5/5,1952,5/5,,,1952-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/4/3,5/5,"Day Book. Contains lists of receipts of membership dues, expenditure, annual balance sheets, lists of trade creditors. 1 vol. plus loose sheets. 1945 - 1952.",5/5,1945,5/5,1952,5/5,1945-01-01,5/5,1952-01-01,5/5,[]
2,6-10,,,,,,,,,Unit 11,5/5,2/4/4,5/5,"Journals. Re subscriptions, receipts, expenditure, 2 vols. 1952 - 1953.",5/5,1952,5/5,1953,5/5,1952-01-01,5/5,1953-01-01,5/5,[]
2,6-10,,,,,,,,,,,2/4/5,5/5,"Cash Book. Payments to various organisations, such as ALP, THC. 1 vol. 1952 - 1958.",5/5,1952,5/5,1958,5/5,1952-01-01,5/5,1958-01-01,5/5,[]
2,6-10,,,,,,,,,Unit 10,5/5,2/4/6,5/5,"Commonwealth Savings Bank, Melbourne. Statements of ASFA (Vic. Branch) and Death Benefit Fund accounts. 1 small bundle. 1951 - 1959.",5/5,1951,5/5,1959,5/5,1951-01-01,5/5,1959-01-01,5/5,[]
2,6-10,,,,,Miscellaneous,5/5,,,Unit 9,5/5,,,Miscellaneous,5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,2/5,5/5,Miscellaneous,5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,2/5/1,5/5,'Phone numbers of casual foremen. 1p. 1 Nov. 1962.,5/5,1 Nov. 1962,5/5,,,1962-11-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/2,5/5,List of financial members. AFSA (Vic. Branch) 6pp. 1 Jan. 1964.,5/5,1 Jan. 1964,5/5,,,1964-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/3,5/5,"Lists of foremen who died, left the industry, were transferred or retired, during 1964. 1p. 1964.",5/5,1964,5/5,,,1964-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/4,5/5,Results of 1964 union election 3pp. 2 - 6 March 1964.,5/5,2 March 1964,5/5,6 March 1964,5/5,1964-03-02,5/5,1964-03-06,5/5,[]
2,6-10,,,,,,,,,,,2/5/5,5/5,Annual Report and balance sheet. 4pp. 1965.,5/5,1965,5/5,,,1965-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/6,5/5,List of executive. 1p. 1965.,5/5,1965,5/5,,,1965-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/7,5/5,"Casual foremen. Lists names, addresses, telephone numbers. 1p. July 1965.",5/5,July 1965,5/5,,,1965-07-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/8,5/5,List of financial members. 9pp. 1965.,5/5,1965,5/5,,,1965-01-01,5/5,,,[]
2,6-10,,,,,,,,,,,2/5/9,5/5,List of Victorian branch members. 9pp. Undated.,5/5,Undated,5/5,,,,,,,[]
2,6-10,3,5/5,GROUP 3.,5/5,,,,,,,,,GROUP 3.,5/5,,,,,,,,,[]
2,6-10,,,,,CORRESPONDENCE,5/5,,,,,,,CORRESPONDENCE,5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,3/1,5/5,Members' Correspondence,5/5,,,,,,,,,[]
2,6-10,,,,,,,,,Unit 12 &14,5/5,3/1/1,5/5,"Members' correspondence, circulars. Concerns resignations, transfers, admissions, notice of meetings. 1 bundle. 1946 - 1964.",5/5,1946,5/5,1964,5/5,1946-01-01,5/5,1964-01-01,5/5,[]
2,6-10,,,,,,,,,,,3/1/2,5/5,"The case of Angus MacDonald. Concerns his appeal to the British Ex-Service Council of Australasia for assistance against the alleged victimisation of R. Scott, Secretary, AFSA. Concludes with his explusion from the union. 1 bundle. 5 Aug. 1959 - 29 March 1963.",5/5,5 Aug. 1959,5/5,29 March 1963,5/5,1959-08-05,5/5,1963-03-29,5/5,[]
2,6-10,,,,,,,,,,,3/1/3,5/5,"Notices of meetings, memos to foremen, casual foremen and executive members. 1 bundle. 1960 - 1965.",5/5,1960,5/5,1965,5/5,1960-01-01,5/5,1965-01-01,5/5,[]
2,6-10,,,,,,,,,,,3/1/4,5/5,"Applications for membership, transfers and resignations. 1 bundle. 9 Oct. 1963 - 25 Aug. 1965.",5/5,9 Oct. 1963,5/5,25 Aug. 1965,5/5,1963-10-09,5/5,1965-08-25,5/5,[]
2,6-10,,,,,,,,,Units 13&14,5/5,3/2,5/5,"Between Branches Note: concerns negotiations for awards and agreements, relations between AFSA and WWF and with shipowners' organisations during the period 1945 - 1964. The main correspondents are: R. Scott, Vic. A.J. Munro, ) S.T. Thompson ) N.S.W. A. Hains ) F. Taylor ) R. Lloyd. ) L. Nash ) Tas. F. Bryce H. Davies, Adel.",5/5,1945,5/5,1964,5/5,1945-01-01,5/5,1964-01-01,5/5,[]
2,6-10,,,,,,,,,,,3/2/1,5/5,Thompson to Scott. Re transfer 1p. 19 March 1945.,5/5,19 March 1945,5/5,,,1945-03-19,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/2,5/5,"Scott to Thompson. Informs him that Scott has written to Overseas Steamship Representatives' Association, Australian Steamship Owners' Association and Master Stevedores' Association. Re formation of AFSA (Vic. Branch). 1p. 23 April 1945.",5/5,23 April 1945,5/5,,,1945-04-23,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/3,5/5,Lloyd to Scott. Says Thompson has asked him to forward copies of a Wages Board determination to Vic. Branch. 1p. 15 May 1945.,5/5,15 May 1945,5/5,,,1945-05-15,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/4,5/5,Thompson to Scott. Re letter from Scott about Thompson's attitude to J. Healey and WWF. Says that in Sydney a member must resign from WWF before he may join AFSA. 2pp. 16 May 1945.,5/5,16 May 1945,5/5,,,1945-05-16,5/5,,,[]
2,6-10,3,5/5,GROUP 3.,5/5,,,,,,,,,GROUP 3.,5/5,,,,,,,,,[]
2,6-10,,,,,CORRESPONDENCE,5/5,(cont.),5/5,,,,,CORRESPONDENCE (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,Units 13&14,5/5,3/2,5/5,Between Branches (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,3/2/5,5/5,Hains to Scott. Re conference. Telegram. 23 May 1945.,5/5,23 May 1945,5/5,,,1945-05-23,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/6,5/5,Lloyd to Scott. Will send copies of the award. 1p. 25 May 1945.,5/5,25 May 1945,5/5,,,1945-05-25,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/7,5/5,Ditto. re inaccuracies in conference report concerning the definition of a foreman stevedore. 3pp. 1 June 1945.,5/5,1 June 1945,5/5,,,1945-06-01,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/8,5/5,"Munro to Scott. Encloses for discussion by Vic. Branch a copy of a log of claims compiled by his branch, the final copy of which is to be submitted to the Federal Court as a proposed award to cover all Australian ports. 1p. 5 June 1945.",5/5,5 June 1945,5/5,,,1945-06-05,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/9,5/5,Lloyd to Scott. Re Tasmanian award in which the Wages Board granted a shipowners' determination. 4pp. (2 sheets). 20 June 1945.,5/5,20 June 1945,5/5,,,1945-06-20,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/10,5/5,"Munro to Scott. Re conference, correspondence with other branches. 2pp. 6 July 1945.",5/5,6 July 1945,5/5,,,1945-07-06,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/11,5/5,"Lloyd to Scott. Re conference, rates of pay for foremen stevedores etc. 11pp. 7 July 1945.",5/5,7 July 1945,5/5,,,1945-07-07,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/12,5/5,"Munro to Scott. Re Townsville, Brisbane, Cairns, Mackay and Bowen branches. 2pp. 10, 11 July 1945.",5/5,"10, 11 July 1945",5/5,,,1945-07-10,5/5,1945-07-11,5/5,[]
2,6-10,,,,,,,,,,,3/2/13,5/5,Scott to Davies. Concerns the formation of an Adelaide branch. 3pp. 10 July 1945.,5/5,10 July 1945,5/5,,,1945-07-10,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/14,5/5,"R.J. Jolley, South Yarra, to Scott. Resigns as minute secretary of Vic. Branch. 1p. 11 July 1945.",5/5,11 July 1945,5/5,,,1945-07-11,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/15,5/5,Unsigned letter to Scott. Concerns arrangements for a suitable meeting place for casual foremen at WWF premises. 2pp. (1 sheet) 12 July 1945.,5/5,12 July 1945,5/5,,,1945-07-12,5/5,,,[]
2,6-10,3,5/5,GROUP 3.,5/5,,,,,,,,,GROUP 3.,5/5,,,,,,,,,[]
2,6-10,,,,,CORRESPONDENCE,5/5,(cont.),5/5,,,,,CORRESPONDENCE (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,3/2,5/5,Between Branches (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,Units 13&14,5/5,3/2/16,5/5,"Munro to Scott. Re conference, hiring rooms for delegates, meeting with shipowners, etc. 2pp. 17 July 1945.",5/5,17 July 1945,5/5,,,1945-07-17,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/17,5/5,"H. Heyen, Treasurer, Vic. Branch, to Scott. Tenders his resignation and offers his services as minute secretary. 1p. 30 July 1945.",5/5,30 July 1945,5/5,,,1945-07-30,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/18,5/5,Munro to Scott. Forwards copy of president's report and minutes of Federal Executive. Speaks of peace settlement. 1p. 17 Aug.1945.,5/5,17 Aug.1945,5/5,,,1945-08-17,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/19,5/5,Hains to Scott. Says peace celebrations have caused disruption and so has not had an executive meeting since the conference. 2pp. 19 Aug. 1945.,5/5,19 Aug. 1945,5/5,,,1945-08-19,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/20,5/5,Munro to Scott. Asks if he has received copies of the reports and minutes of meetings forwarded to him. Encloses two further copies of reports and asks Scott to forward six copies of the log of claims put before the shipowners. 1p. 27 Aug. 1945.,5/5,27 Aug. 1945,5/5,,,1945-08-27,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/21,5/5,Hains to Scott. Speaks of resentment and opposition by the Vic. Branch towards the WWF but says he thinks it can be overcome. 2pp. 31 Aug. 1945.,5/5,31 Aug. 1945,5/5,,,1945-08-31,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/22,5/5,Lloyd to Scott. Refers to Thompson's resignation. Asks if he has heard from shipowners yet. Speaks of a general election and inquires if he has had more clashes with the WWF. 3pp. 6 Sept. 1945.,5/5,6 Sept. 1945,5/5,,,1945-09-06,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/23,5/5,Munro to Scott. Re charges made by WWF against AFSA. Discusses possible formation of a Newcastle branch. 2pp. 21 Sept. 1945.,5/5,21 Sept. 1945,5/5,,,1945-09-21,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/24,5/5,"Hains to Scott. Concerns a federal conference with shipowners to discuss a federal agreement, election of federal officers, etc. 2pp. 24 Sept. 1945.",5/5,24 Sept. 1945,5/5,,,1945-09-24,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/25,5/5,Ditto. Confidential. Tells of his urgent message to the Central Committee of CSOA. Says he has not received a reply yet. 1p. 9 Oct. 1945.,5/5,9 Oct. 1945,5/5,,,1945-10-09,5/5,,,[]
2,6-10,3,5/5,GROUP 3.,5/5,,,,,,,,,GROUP 3.,5/5,,,,,,,,,[]
2,6-10,,,,,CORRESPONDENCE,5/5,(cont.),5/5,,,,,CORRESPONDENCE (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,3/2,5/5,Between Branches (cont.),5/5,,,,,,,,,[]
2,6-10,,,,,,,,,,,3/2/26,5/5,"Ditto. Re reply from R. Vienvenue, CSOA 1p. 12 Oct. 1945.",5/5,12 Oct. 1945,5/5,,,1945-10-12,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/27,5/5,Lloyd to Scott. Asks for information about the award. 2pp. 12 Oct. 1945.,5/5,12 Oct. 1945,5/5,,,1945-10-12,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/28,5/5,"Ditto. Thanks him for letter and apologizes for his impatience. Speaks of trouble with casual foremen, who are still members of the WWF. Thanks him for information about the award. Suggests an earlier meeting with the Federal Executive. 4pp. 18 Oct.1945.",5/5,18 Oct.1945,5/5,,,1945-10-18,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/29,5/5,Lloyd to Scott. Re agreement for Victoria. Asks for a copy and says he is concerned about the preference clause. 3pp. 22 Nov. 1945.,5/5,22 Nov. 1945,5/5,,,1945-11-22,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/30,5/5,"Ditto. Acknowledges receipt of a copy of the proposed agreement. Says that apart from the weekly wage of 19 pounds and the payment of meal money, he considers it ""lousy"". Points out that there is no limitation of overtime, and annual leave only after a 3 year probation period. Criticises definitions. 6pp. 5 Dec. 1945.",5/5,5 Dec. 1945,5/5,,,1945-12-05,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/31,5/5,Hains to Scott. Discusses the agreement. 2pp. 10 Dec. 1945.,5/5,10 Dec. 1945,5/5,,,1945-12-10,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/32,5/5,Lloyd to Scott. Encloses a list of branch members. Discusses the possibility of reaching a temporary agreement with the Oversea and Interstate Joint Shipping Committee in Hobart. Asks how the Victorian temporary agreement is working. Speaks of the attitude of shipowners. 7pp. 2 Jan. 1946.,5/5,2 Jan. 1946,5/5,,,1946-01-02,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/33,5/5,Ditto. Speaks of an interview with the chairman of the Oversea and Interstate Joint Shipping Committee. Says he will refer the Victorian agreement to the Tasmanian Committee but not recommend it. Wants to know if the agreement is in operation in Melbourne. 3pp. 7 Jan. 1946.,5/5,7 Jan. 1946,5/5,,,1946-01-07,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/34,5/5,"J. Otley, Secretary, Townsville Branch, to Scott. Telegram. Requets immediate information about an award or agreement. 14 Jan. 1946.",5/5,14 Jan. 1946,5/5,,,1946-01-14,5/5,,,[]
2,6-10,,,,,,,,,,,3/2/35,5/5,Hains to Scott. Re meeting of the Federal Executive in Sydney.1p. 22 Feb. 1946.,5/5,22 Feb. 1946,5/5,,,1946-02-22,5/5,,,[]
3,11-15,3,5/5,GROUP 3. CORRESPONDENCE (cont.),5/5,,,,,,,,,GROUP 3. CORRESPONDENCE (cont.),5/5,,,,,,,,,[]
3,11-15,,,,,,,,,Units 13&14,5/5,3/2/36,5/5,"Lloyd to Scott. More re temporary agreement. Asks if he has any information about a Tasmanian agreement and suggests that he may find out by interviewing Vienvenue, COSA. Says his members are very dissatisfied with their working conditions. 3pp. 24 Feb. 1946.",4/5,24 Feb. 1946.,5/5,,,1946-02-24,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/37,5/5,Hains to Scott. Commends him for arranging a conference between Victorian Committee and WWF and speaks of the Federal Committee's meeting with the Federal body of the WWF. 2pp. 25 Feb. 1946.,5/5,25 Feb. 1946.,5/5,,,1946-02-25,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/38,5/5,Lloyd to Scott. Speaks again of the possibility of securing a temporary agreement for Tasmania. Says he is of the opinion that the shipowners are grasping at any straw to delay the agreement coming into operation. Speaks of the need for casual foremen to sever all connections with the WWF. 4pp. 27 Feb. 1946.,5/5,27 Feb. 1946.,5/5,,,1946-02-27,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/39,5/5,Ditto. Says that he now has proof that the shipowners have no intention of entering into any temporary agreements until they see where they stand in relation to the new Shipping Industry Commission. 4pp. 6 March 1946.,5/5,6 March 1946.,5/5,,,1946-03-06,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/40,5/5,Munro to Scott. Re Federal conference. 1p. 15 March 1946.,5/5,15 March 1946.,5/5,,,1946-03-15,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/41,5/5,"E.P. Mullins, Cairns branch, to Hains. Encloses a letter forwarded to Scott which has been returned to him re closer co-operation with the WWF. Explains that ten out of thirteen members of his branch are financial members of WWF. 3pp. 17 Feb. - 18 March 1946.",5/5,17 Feb.,5/5,18 March 1946.,5/5,1946-02-17,5/5,1946-03-18,5/5,[]
3,11-15,,,,,,,,,,,3/2/42,5/5,"Hains to Mullins. Re letter to Scott. Says he is gratified that there are no problems between AFSA and WWF in Cairns. Re Federal agreement, conference. 2pp. 20 March 1946.",5/5,20 March 1946.,5/5,,,1946-03-20,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/43,5/5,"Hains to Scott. Encloses a copy of correspondence with Vienvenue, CSOA re information supplied to Lloyd. Also encloses a letter concerning a transfer. 2pp. 21 March 1946.",4/5,21 March 1946.,5/5,,,1946-03-21,5/5,,,[]
3,11-15,,,,,,,,,,,3/2/44,5/5,Lloyd to Scott. Gives further evidence that the shipowners are not playing the game. Explains that he is endeavouring to get an interview with the Premier concerning reaching an amicable agreement with the shipowners. 7pp. 23 March 1946.,5/5,23 March 1946.,5/5,,,1946-03-23,5/5,,,[]
3,11-15,3,5/5,GROUP 3. CORRESPONDENCE (cont.),5/5,,,,,,,,,GROUP 3. CORRESPONDENCE (cont.),5/5,,,,,,,,,[]
